Major	Website	College	CSE 2111	LING 2001	LING 3802	MATH 1116	MATH 1125	MATH 1126	MATH 1130	MATH 1131	MATH 1135	MATH 1136	MATH 1148	MATH 1149	MATH 1150	MATH 1151	MATH 1152	MATH 1172	MATH 2153	MATH 2173	MATH 2174	MATH 2177	PHILOS 1500	PHILOS 1501	PHILOS 2500	AEDECON 2005	ANIMSCI 2260	ASTRON 3350	CHEM 2210	COMLDR 3537	EARTHSC 2245	ECON 3400	ENR 2000	GEOG 2200	HCS 2260	INTSTDS 3400	LING 2051	PHILOS 1520	PHYSICS 3700	POLITSC 3780	POLITSC 4781	PSYCH 2220	SOCIOL 3549	SPHHRNG  2051	STAT 1350	STAT 1430	STAT 1450	STAT 2450	STAT 2480	STAT 3201	STAT 3450	STAT 3460	STAT 3470	STAT 4202	ANIMSCI 2200	ANTHROP 2200	BIOLOGY 1101	BIOLOGY 1102	BIOLOGY 1105	BIOLOGY 1113	BIOLOGY 1114	BIOLOGY 1350	BIOLOGY 2100	EEOB 2510	EEOB 2520	ENR 2100	ENTMLGY 1101	ENTMLGY 1111	ENTMLGY 2101	ENTMLGY 3330	FST 2200	HCS 2200	HCS 2201	HCS 2202	HUMNNTR 2210	HUMNNTR 2310	MICRBIO 4000	MOLGEN 1101	MOLGEN 1301	MOLGEN 3300	PHYSIOL 3200	PLANTPTH 2000	ASTRON 1101	ASTRON 1140	ASTRON 1141	ASTRON 1142	ASTRON 1143	ASTRON 1144	CHEM 1100	CHEM 1110	CHEM 1210	CHEM 1220	CHEM 1250	CHEM 1610	CHEM 1910H	EARTHSC 1100	EARTHSC 1105	EARTHSC 1108	EARTHSC 1110	EARTHSC 1121	EARTHSC 1122	EARTHSC 1151	EARTHSC 1911	EARTHSC 2155	EARTHSC 2203	EARTHSC 2204	EARTHSC 2205	EARTHSC 2206	EARTHSC 2210	ENR 1110	ENR 2155	ENR 3000	GEOG 1900	GEOG 2800	GEOG 2960	GEOG 3900	PHYSICS 1103	PHYSICS 1104	PHYSICS 1106.01	PHYSICS 1106.02	PHYSICS 1107.01	PHYSICS 1107.02	PHYSICS 1110	PHYSICS 1200	PHYSICS 1250	AEDECON 2001	AEDECON 2580	AFAMAST 1101	AFAMAST 2218	AFAMAST 4250	ANTHROP 1100	ANTHROP 2201	ANTHROP 2202	ANTHROP 3420	ANTHROP 3597	ARCH 2220	BUSMHR 2500	COMM 1100	COMM 1101	COMM 2331	CRPLAN 3500	CSCFFS 2910	CSFRST 2372	ECON 1100	ECON 2001	ECON 2002	ECON 3048	EDUTL 3160	EDUTL 4005	ENR 2300	ENR 4000	ESCFE 2241	GEOG 2100	GEOG 2400	GEOG 2500	GEOG 2750	GEOG 3600	GEOG 3601	GEOG 3701	GEOG 3800	HDFS 2200	HDFS 2350	HDFS 2400	HDFS 2410	HDFS 3440	HISTORY 2700	INTSTDS 2000	INTSTDS 2050	INTSTDS 2100	INTSTDS 2200	INTSTDS 2250	INTSTDS 2251	INTSTDS 2500	INTSTDS 2580	INTSTDS 2800	INTSTDS 3350	INTSTDS 3850	LING 1100	LING 3501	LING 3602	LING 3603	LING 3701	POLITSC 1100	POLITSC 1165	POLITSC 1200	POLITSC 1300	POLITSC 2150	POLITSC 2300	POLITSC 2400	POLITSC 3220	POLITSC 3596	PSYCH 1100	PSYCH 1200	PSYCH 3371	PUBAFRS 2110	PUBHLTH 2010	RURLSOC 1500	RURLSOC 3580	SOCIOL 1101	SOCIOL 2210	SOCIOL 2320	SOCIOL 2345	SOCIOL 2370	SOCIOL 3380	SOCIOL 3460	SOCIOL 3463	SOCWORK 1120	SOCWORK 1130	SPANISH 2389	SPHHRNG 3330	SPHHRNG 3350	WGSSTD 1110	American Sign Language	Arabic	Bosnian-Croatian-Serbian	Chinese	Czech	French	German	Greek	Hebrew	Hindi	Italian	Japanese	Korean	Latin	Modern Greek	Persian	Polish	Portuguese	Quechua	Romanian	Russian	Somali	Spanish	Swahili	Swedish	Tibetan	Turkish	Urdu	Uzbek	ACCTMIS 2000	ACCTMIS 2200	AGRCOMM 3130	ANATOMY 2300	ANATOMY 3300	COMM 2110	CSE 1110	CSE 1111	CSE 1222	CSE 1223	HTHRHSC 2500	"""Arts, Innovation & Design"""	"""Behavior, Culture & Context"""	Education & Public Service	Health & Human Services	Management & Industry	"""Science, Technology & Environment"""
!!!Category	!!Website	!College	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Math	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Data Analysis	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Biological Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Physical Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Social Science	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Foreign Language	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Major-Specific	Meta-Major	Meta-Major	Meta-Major	Meta-Major	Meta-Major	Meta-Major
Pre-Dentistry	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Law	http://preprofessional.osu.edu/	Pre-Professional	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0
Pre-Medicine	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Occupational-Therapy	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Optometry	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Pharmacy	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Physical-Therapy	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Pre-Veterinary-Medicine	http://preprofessional.osu.edu/	Pre-Professional	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Actuarial Science (BA)	https://math.osu.edu/undergrad/current-majors/requirements/actuarial	The College of Arts & Sciences	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
